customer_number,household_size,quarter,amount
8917,4,"Q1 Balance",723
8918,3,"Q1 Balance",1859
8919,4,"Q1 Balance",141
8920,5,"Q1 Balance",612
8921,4,"Q1 Balance",89
8922,5,"Q1 Balance",1664
8923,3,"Q1 Balance",1593
8924,4,"Q1 Balance",45
8925,4,"Q1 Balance",438
8926,5,"Q1 Balance",1533
8927,4,"Q1 Balance",162
8928,2,"Q1 Balance",769
8929,2,"Q1 Balance",929
8930,5,"Q1 Balance",843
8931,3,"Q1 Balance",291
8932,2,"Q1 Balance",282
8933,3,"Q1 Balance",724
8934,4,"Q1 Balance",1686
8935,5,"Q1 Balance",561
8936,2,"Q1 Balance",886
8937,5,"Q1 Balance",315
8938,1,"Q1 Balance",1817
8939,4,"Q1 Balance",1618
8940,2,"Q1 Balance",797
8941,5,"Q1 Balance",1646
8942,2,"Q1 Balance",1532
8943,3,"Q1 Balance",911
8944,3,"Q1 Balance",1339
8945,3,"Q1 Balance",1956
8946,5,"Q1 Balance",1745
8947,5,"Q1 Balance",1424
8948,4,"Q1 Balance",2
8949,3,"Q1 Balance",792
8950,3,"Q1 Balance",805
8951,3,"Q1 Balance",1886
8952,6,"Q1 Balance",317
8953,2,"Q1 Balance",1995
8954,3,"Q1 Balance",262
8955,2,"Q1 Balance",626
8956,3,"Q1 Balance",2081
8957,4,"Q1 Balance",736
8958,2,"Q1 Balance",511
8959,3,"Q1 Balance",1930
8960,3,"Q1 Balance",1690
8961,5,"Q1 Balance",277
8962,5,"Q1 Balance",346
8963,4,"Q1 Balance",1882
8964,3,"Q1 Balance",1653
8965,4,"Q1 Balance",1315
8966,4,"Q1 Balance",1253
8967,5,"Q1 Balance",88
8968,2,"Q1 Balance",1267
8969,3,"Q1 Balance",403
8970,3,"Q1 Balance",556
8971,3,"Q1 Balance",645
8972,4,"Q1 Balance",107
8973,3,"Q1 Balance",414
8974,4,"Q1 Balance",889
8975,4,"Q1 Balance",765
8976,2,"Q1 Balance",1631
8977,4,"Q1 Balance",2176
8978,6,"Q1 Balance",648
8979,3,"Q1 Balance",1567
8980,4,"Q1 Balance",344
8981,2,"Q1 Balance",458
8982,4,"Q1 Balance",267
8983,4,"Q1 Balance",370
8984,5,"Q1 Balance",1015
8985,2,"Q1 Balance",1550
8986,5,"Q1 Balance",631
8987,2,"Q1 Balance",112
8988,4,"Q1 Balance",928
8989,3,"Q1 Balance",160
8990,2,"Q1 Balance",1895
8991,4,"Q1 Balance",784
8992,1,"Q1 Balance",537
8993,3,"Q1 Balance",706
8994,3,"Q1 Balance",1847
8995,4,"Q1 Balance",265
8996,5,"Q1 Balance",768
8997,3,"Q1 Balance",776
8998,4,"Q1 Balance",526
8999,3,"Q1 Balance",789
9000,5,"Q1 Balance",585
9001,2,"Q1 Balance",588
9002,4,"Q1 Balance",502
9003,3,"Q1 Balance",471
9004,4,"Q1 Balance",1237
9005,3,"Q1 Balance",108
9006,5,"Q1 Balance",1046
9007,5,"Q1 Balance",502
9008,4,"Q1 Balance",691
9009,3,"Q1 Balance",1969
9010,4,"Q1 Balance",192
9011,4,"Q1 Balance",1768
9012,4,"Q1 Balance",1277
9013,5,"Q1 Balance",563
9014,3,"Q1 Balance",965
9015,4,"Q1 Balance",692
9016,2,"Q1 Balance",300
9017,2,"Q1 Balance",507
9018,3,"Q1 Balance",676
9019,2,"Q1 Balance",1900
9020,3,"Q1 Balance",1613
9021,4,"Q1 Balance",183
9022,3,"Q1 Balance",824
9023,2,"Q1 Balance",1897
9024,3,"Q1 Balance",1669
9025,3,"Q1 Balance",633
9026,3,"Q1 Balance",772
9027,3,"Q1 Balance",449
9028,5,"Q1 Balance",484
9029,3,"Q1 Balance",1702
9030,4,"Q1 Balance",317
9031,3,"Q1 Balance",278
9032,1,"Q1 Balance",93
9033,2,"Q1 Balance",637
9034,3,"Q1 Balance",1211
9035,2,"Q1 Balance",520
9036,3,"Q1 Balance",137
9037,3,"Q1 Balance",615
9038,3,"Q1 Balance",668
9039,5,"Q1 Balance",971
9040,4,"Q1 Balance",1598
9041,2,"Q1 Balance",922
9042,4,"Q1 Balance",1911
9043,4,"Q1 Balance",1850
9044,5,"Q1 Balance",58
9045,4,"Q1 Balance",728
9046,5,"Q1 Balance",163
9047,4,"Q1 Balance",139
9048,4,"Q1 Balance",422
9049,5,"Q1 Balance",976
9050,3,"Q1 Balance",1008
9051,3,"Q1 Balance",1978
9052,3,"Q1 Balance",226
9053,5,"Q1 Balance",1938
9054,4,"Q1 Balance",72
9055,3,"Q1 Balance",630
9056,2,"Q1 Balance",1956
9057,4,"Q1 Balance",779
9058,2,"Q1 Balance",476
9059,4,"Q1 Balance",6
9060,3,"Q1 Balance",372
9061,5,"Q1 Balance",16
9062,4,"Q1 Balance",615
9063,3,"Q1 Balance",227
9064,2,"Q1 Balance",103
9065,5,"Q1 Balance",14
9066,1,"Q1 Balance",723
9067,2,"Q1 Balance",1595
9068,3,"Q1 Balance",1949
9069,5,"Q1 Balance",848
9070,1,"Q1 Balance",72
9071,3,"Q1 Balance",692
9072,5,"Q1 Balance",971
9073,3,"Q1 Balance",546
9074,3,"Q1 Balance",699
9075,4,"Q1 Balance",1615
9076,4,"Q1 Balance",1894
9077,4,"Q1 Balance",965
9078,4,"Q1 Balance",923
9079,4,"Q1 Balance",1741
9080,3,"Q1 Balance",666
9081,4,"Q1 Balance",520
9082,4,"Q1 Balance",451
9083,1,"Q1 Balance",1627
9084,3,"Q1 Balance",1738
9085,5,"Q1 Balance",132
9086,4,"Q1 Balance",800
9087,4,"Q1 Balance",855
9088,4,"Q1 Balance",59
9089,2,"Q1 Balance",1897
9090,3,"Q1 Balance",755
9091,4,"Q1 Balance",895
9092,3,"Q1 Balance",1808
9093,2,"Q1 Balance",1693
9094,4,"Q1 Balance",311
9095,4,"Q1 Balance",257
9096,2,"Q1 Balance",859
9097,4,"Q1 Balance",2071
9098,4,"Q1 Balance",1655
9099,3,"Q1 Balance",1914
9100,3,"Q1 Balance",948
9101,5,"Q1 Balance",393
9102,2,"Q1 Balance",1829
9103,3,"Q1 Balance",361
9104,4,"Q1 Balance",217
9105,2,"Q1 Balance",786
9106,1,"Q1 Balance",1952
9107,5,"Q1 Balance",1250
9108,5,"Q1 Balance",1954
9109,1,"Q1 Balance",438
9110,3,"Q1 Balance",181
9111,5,"Q1 Balance",706
9112,4,"Q1 Balance",51
9113,2,"Q1 Balance",1547
9114,4,"Q1 Balance",699
9115,2,"Q1 Balance",557
9116,2,"Q1 Balance",14
9117,1,"Q1 Balance",1913
9118,4,"Q1 Balance",1006
9119,4,"Q1 Balance",1752
9120,3,"Q1 Balance",105
9121,6,"Q1 Balance",1344
9122,5,"Q1 Balance",474
9123,1,"Q1 Balance",1382
9124,3,"Q1 Balance",689
9125,4,"Q1 Balance",1627
9126,3,"Q1 Balance",509
9127,4,"Q1 Balance",998
9128,3,"Q1 Balance",1364
9129,6,"Q1 Balance",1540
9130,1,"Q1 Balance",1617
9131,5,"Q1 Balance",544
9132,5,"Q1 Balance",44
9133,5,"Q1 Balance",164
9134,4,"Q1 Balance",1433
9135,6,"Q1 Balance",7
9136,3,"Q1 Balance",294
9137,5,"Q1 Balance",385
9138,4,"Q1 Balance",834
9139,4,"Q1 Balance",1653
9140,4,"Q1 Balance",1536
9141,3,"Q1 Balance",1022
9142,4,"Q1 Balance",1621
9143,4,"Q1 Balance",489
9144,3,"Q1 Balance",160
9145,4,"Q1 Balance",2069
9146,4,"Q1 Balance",745
9147,3,"Q1 Balance",668
9148,3,"Q1 Balance",863
9149,5,"Q1 Balance",1609
9150,4,"Q1 Balance",158
9151,3,"Q1 Balance",2032
9152,4,"Q1 Balance",35
9153,4,"Q1 Balance",1871
9154,2,"Q1 Balance",1856
9155,2,"Q1 Balance",1728
9156,5,"Q1 Balance",793
9157,2,"Q1 Balance",363
9158,5,"Q1 Balance",318
9159,2,"Q1 Balance",738
9160,4,"Q1 Balance",1588
9161,3,"Q1 Balance",773
9162,3,"Q1 Balance",1739
9163,4,"Q1 Balance",1720
9164,3,"Q1 Balance",228
9165,3,"Q1 Balance",557
9166,2,"Q1 Balance",213
9167,3,"Q1 Balance",266
9168,4,"Q1 Balance",530
9169,2,"Q1 Balance",771
9170,5,"Q1 Balance",765
9171,3,"Q1 Balance",803
9172,3,"Q1 Balance",345
9173,3,"Q1 Balance",1446
9174,5,"Q1 Balance",1824
9175,3,"Q1 Balance",614
9176,2,"Q1 Balance",1846
9177,4,"Q1 Balance",2109
9178,4,"Q1 Balance",1053
9179,4,"Q1 Balance",2171
9180,3,"Q1 Balance",1684
9181,2,"Q1 Balance",742
9182,3,"Q1 Balance",964
9183,5,"Q1 Balance",1543
9184,5,"Q1 Balance",1486
9185,4,"Q1 Balance",356
9186,4,"Q1 Balance",2029
9187,3,"Q1 Balance",590
9188,2,"Q1 Balance",376
9189,5,"Q1 Balance",28
9190,4,"Q1 Balance",372
9191,5,"Q1 Balance",1605
9192,4,"Q1 Balance",182
9193,5,"Q1 Balance",63
9194,4,"Q1 Balance",954
9195,3,"Q1 Balance",1318
9196,3,"Q1 Balance",1600
9197,4,"Q1 Balance",892
9198,5,"Q1 Balance",800
9199,3,"Q1 Balance",909
9200,5,"Q1 Balance",944
9201,5,"Q1 Balance",376
9202,4,"Q1 Balance",476
9203,2,"Q1 Balance",415
9204,4,"Q1 Balance",244
9205,2,"Q1 Balance",2009
9206,3,"Q1 Balance",158
9207,4,"Q1 Balance",209
9208,6,"Q1 Balance",170
9209,5,"Q1 Balance",132
9210,4,"Q1 Balance",542
9211,4,"Q1 Balance",1443
9212,3,"Q1 Balance",139
9213,2,"Q1 Balance",1554
9214,5,"Q1 Balance",272
9215,5,"Q1 Balance",684
9216,4,"Q1 Balance",1586
9217,4,"Q1 Balance",659
9218,4,"Q1 Balance",1866
9219,3,"Q1 Balance",1672
9220,5,"Q1 Balance",314
9221,3,"Q1 Balance",1662
9222,3,"Q1 Balance",457
9223,2,"Q1 Balance",189
9224,2,"Q1 Balance",1691
9225,4,"Q1 Balance",1671
9226,2,"Q1 Balance",1839
9227,3,"Q1 Balance",282
9228,3,"Q1 Balance",1716
9229,3,"Q1 Balance",938
9230,2,"Q1 Balance",2060
9231,3,"Q1 Balance",487
9232,4,"Q1 Balance",794
9233,4,"Q1 Balance",195
9234,5,"Q1 Balance",2190
9235,4,"Q1 Balance",1680
9236,5,"Q1 Balance",382
9237,4,"Q1 Balance",1296
9238,4,"Q1 Balance",1785
9239,3,"Q1 Balance",1033
9240,3,"Q1 Balance",480
9241,3,"Q1 Balance",4
9242,6,"Q1 Balance",183
9243,4,"Q1 Balance",448
9244,4,"Q1 Balance",380
9245,4,"Q1 Balance",2013
9246,4,"Q1 Balance",683
9247,2,"Q1 Balance",48
9248,5,"Q1 Balance",1787
9249,5,"Q1 Balance",212
9250,5,"Q1 Balance",729
9251,4,"Q1 Balance",1953
9252,4,"Q1 Balance",557
9253,4,"Q1 Balance",659
9254,4,"Q1 Balance",1825
9255,5,"Q1 Balance",794
9256,2,"Q1 Balance",147
9257,4,"Q1 Balance",121
9258,3,"Q1 Balance",434
9259,5,"Q1 Balance",287
9260,4,"Q1 Balance",850
9261,1,"Q1 Balance",1021
9262,4,"Q1 Balance",218
9263,5,"Q1 Balance",282
9264,6,"Q1 Balance",309
9265,3,"Q1 Balance",632
9266,2,"Q1 Balance",590
9267,2,"Q1 Balance",1882
9268,5,"Q1 Balance",603
9269,5,"Q1 Balance",836
9270,4,"Q1 Balance",992
9271,3,"Q1 Balance",1626
9272,4,"Q1 Balance",512
9273,1,"Q1 Balance",656
9274,4,"Q1 Balance",1927
9275,2,"Q1 Balance",1735
9276,2,"Q1 Balance",288
9277,4,"Q1 Balance",1941
9278,3,"Q1 Balance",164
9279,4,"Q1 Balance",260
9280,3,"Q1 Balance",1103
9281,5,"Q1 Balance",575
9282,3,"Q1 Balance",70
9283,4,"Q1 Balance",1573
9284,5,"Q1 Balance",607
9285,2,"Q1 Balance",1942
9286,3,"Q1 Balance",488
9287,4,"Q1 Balance",276
9288,5,"Q1 Balance",1206
9289,6,"Q1 Balance",272
9290,3,"Q1 Balance",1946
9291,6,"Q1 Balance",1756
9292,2,"Q1 Balance",1647
9293,4,"Q1 Balance",676
9294,5,"Q1 Balance",1846
9295,4,"Q1 Balance",780
9296,3,"Q1 Balance",778
9297,3,"Q1 Balance",1973
9298,5,"Q1 Balance",946
9299,3,"Q1 Balance",365
9300,3,"Q1 Balance",555
9301,4,"Q1 Balance",340
9302,2,"Q1 Balance",1841
9303,3,"Q1 Balance",1546
9304,6,"Q1 Balance",1599
9305,3,"Q1 Balance",1608
9306,3,"Q1 Balance",79
9307,3,"Q1 Balance",1183
9308,4,"Q1 Balance",1684
9309,5,"Q1 Balance",1819
9310,3,"Q1 Balance",2006
9311,5,"Q1 Balance",217
9312,4,"Q1 Balance",743
9313,3,"Q1 Balance",338
9314,4,"Q1 Balance",476
9315,4,"Q1 Balance",1358
9316,3,"Q1 Balance",432
9317,3,"Q1 Balance",566
9318,5,"Q1 Balance",114
9319,4,"Q1 Balance",528
9320,3,"Q1 Balance",802
9321,3,"Q1 Balance",192
9322,5,"Q1 Balance",2100
9323,4,"Q1 Balance",704
9324,4,"Q1 Balance",1478
9325,3,"Q1 Balance",405
9326,4,"Q1 Balance",1934
9327,3,"Q1 Balance",1766
9328,3,"Q1 Balance",409
9329,3,"Q1 Balance",319
9330,1,"Q1 Balance",951
9331,4,"Q1 Balance",1832
9332,3,"Q1 Balance",447
9333,2,"Q1 Balance",681
9334,3,"Q1 Balance",860
9335,4,"Q1 Balance",492
9336,5,"Q1 Balance",1912
9337,4,"Q1 Balance",502
9338,5,"Q1 Balance",628
9339,3,"Q1 Balance",507
9340,5,"Q1 Balance",393
9341,4,"Q1 Balance",713
9342,2,"Q1 Balance",1246
9343,3,"Q1 Balance",657
9344,4,"Q1 Balance",212
9345,4,"Q1 Balance",1931
9346,4,"Q1 Balance",851
9347,3,"Q1 Balance",643
9348,5,"Q1 Balance",223
9349,3,"Q1 Balance",638
9350,2,"Q1 Balance",2003
9351,3,"Q1 Balance",43
9352,5,"Q1 Balance",994
9353,1,"Q1 Balance",493
9354,3,"Q1 Balance",1978
9355,2,"Q1 Balance",500
9356,2,"Q1 Balance",149
9357,3,"Q1 Balance",883
9358,3,"Q1 Balance",1699
9359,3,"Q1 Balance",1526
9360,5,"Q1 Balance",675
9361,3,"Q1 Balance",1016
9362,4,"Q1 Balance",258
9363,4,"Q1 Balance",438
9364,5,"Q1 Balance",433
9365,4,"Q1 Balance",1378
9366,5,"Q1 Balance",1929
9367,4,"Q1 Balance",1690
9368,3,"Q1 Balance",1702
9369,2,"Q1 Balance",2059
9370,4,"Q1 Balance",1832
9371,3,"Q1 Balance",730
9372,4,"Q1 Balance",649
9373,4,"Q1 Balance",1311
9374,4,"Q1 Balance",951
9375,3,"Q1 Balance",675
9376,3,"Q1 Balance",661
9377,5,"Q1 Balance",510
9378,5,"Q1 Balance",584
9379,6,"Q1 Balance",1563
9380,3,"Q1 Balance",774
9381,2,"Q1 Balance",957
9382,5,"Q1 Balance",809
9383,3,"Q1 Balance",1981
9384,4,"Q1 Balance",375
9385,5,"Q1 Balance",66
9386,3,"Q1 Balance",819
9387,3,"Q1 Balance",588
9388,4,"Q1 Balance",1896
9389,4,"Q1 Balance",2089
9390,3,"Q1 Balance",955
9391,5,"Q1 Balance",1671
9392,3,"Q1 Balance",813
9393,5,"Q1 Balance",1903
9394,2,"Q1 Balance",112
9395,4,"Q1 Balance",360
9396,5,"Q1 Balance",360
9397,6,"Q1 Balance",149
9398,4,"Q1 Balance",52
9399,3,"Q1 Balance",253
9400,5,"Q1 Balance",257
9401,3,"Q1 Balance",1698
9402,4,"Q1 Balance",123
9403,4,"Q1 Balance",1538
9404,3,"Q1 Balance",817
9405,5,"Q1 Balance",1915
9406,3,"Q1 Balance",2028
9407,3,"Q1 Balance",1088
9408,3,"Q1 Balance",1679
9409,3,"Q1 Balance",63
9410,2,"Q1 Balance",1128
9411,3,"Q1 Balance",576
9412,4,"Q1 Balance",845
9413,5,"Q1 Balance",356
9414,6,"Q1 Balance",31
9415,2,"Q1 Balance",418
9416,2,"Q1 Balance",133
9417,4,"Q1 Balance",2089
9418,3,"Q1 Balance",982
9419,2,"Q1 Balance",1717
9420,4,"Q1 Balance",1028
9421,1,"Q1 Balance",203
9422,5,"Q1 Balance",164
9423,3,"Q1 Balance",1756
9424,3,"Q1 Balance",697
9425,3,"Q1 Balance",454
9426,3,"Q1 Balance",1609
9427,4,"Q1 Balance",1608
9428,5,"Q1 Balance",419
9429,3,"Q1 Balance",1864
9430,5,"Q1 Balance",17
9431,3,"Q1 Balance",758
9432,3,"Q1 Balance",508
9433,4,"Q1 Balance",2146
9434,2,"Q1 Balance",1691
9435,4,"Q1 Balance",308
9436,5,"Q1 Balance",1930
9437,4,"Q1 Balance",375
9438,4,"Q1 Balance",371
9439,3,"Q1 Balance",470
9440,4,"Q1 Balance",992
9441,2,"Q1 Balance",451
9442,4,"Q1 Balance",1759
9443,2,"Q1 Balance",222
9444,4,"Q1 Balance",227
9445,3,"Q1 Balance",574
9446,4,"Q1 Balance",2080
9447,4,"Q1 Balance",270
9448,3,"Q1 Balance",1976
9449,5,"Q1 Balance",218
9450,3,"Q1 Balance",1961
9451,4,"Q1 Balance",624
9452,3,"Q1 Balance",1560
9453,3,"Q1 Balance",597
9454,1,"Q1 Balance",167
9455,3,"Q1 Balance",553
9456,4,"Q1 Balance",200
9457,3,"Q1 Balance",742
9458,3,"Q1 Balance",441
9459,3,"Q1 Balance",1862
9460,4,"Q1 Balance",248
9461,3,"Q1 Balance",301
9462,3,"Q1 Balance",322
9463,2,"Q1 Balance",392
9464,3,"Q1 Balance",21
9465,3,"Q1 Balance",943
9466,3,"Q1 Balance",437
9467,4,"Q1 Balance",861
9468,4,"Q1 Balance",844
9469,6,"Q1 Balance",1617
9470,3,"Q1 Balance",436
9471,2,"Q1 Balance",1022
9472,3,"Q1 Balance",290
9473,5,"Q1 Balance",430
9474,3,"Q1 Balance",327
9475,3,"Q1 Balance",147
9476,4,"Q1 Balance",800
9477,3,"Q1 Balance",1423
9478,4,"Q1 Balance",1125
9479,2,"Q1 Balance",1402
9480,4,"Q1 Balance",608
9481,5,"Q1 Balance",635
9482,5,"Q1 Balance",637
9483,2,"Q1 Balance",1986
9484,4,"Q1 Balance",1386
9485,3,"Q1 Balance",220
9486,3,"Q1 Balance",1484
9487,3,"Q1 Balance",884
9488,4,"Q1 Balance",688
9489,2,"Q1 Balance",565
9490,3,"Q1 Balance",487
9491,6,"Q1 Balance",1897
9492,3,"Q1 Balance",588
9493,5,"Q1 Balance",1255
9494,2,"Q1 Balance",414
9495,2,"Q1 Balance",822
9496,4,"Q1 Balance",813
9497,4,"Q1 Balance",2126
9498,4,"Q1 Balance",633
9499,2,"Q1 Balance",389
9500,4,"Q1 Balance",1564
9501,4,"Q1 Balance",968
9502,2,"Q1 Balance",2095
9503,3,"Q1 Balance",231
9504,3,"Q1 Balance",1581
9505,2,"Q1 Balance",1110
9506,5,"Q1 Balance",269
9507,4,"Q1 Balance",1386
9508,4,"Q1 Balance",825
9509,5,"Q1 Balance",1665
9510,6,"Q1 Balance",916
9511,2,"Q1 Balance",43
9512,4,"Q1 Balance",1728
9513,2,"Q1 Balance",888
9514,6,"Q1 Balance",514
9515,1,"Q1 Balance",1915
9516,2,"Q1 Balance",315
9517,1,"Q1 Balance",1532
9518,4,"Q1 Balance",1144
9519,3,"Q1 Balance",2183
9520,4,"Q1 Balance",308
9521,3,"Q1 Balance",859
9522,4,"Q1 Balance",499
9523,4,"Q1 Balance",877
9524,2,"Q1 Balance",665
9525,2,"Q1 Balance",326
9526,3,"Q1 Balance",86
9527,4,"Q1 Balance",1858
9528,5,"Q1 Balance",1550
9529,5,"Q1 Balance",360
9530,5,"Q1 Balance",1841
9531,1,"Q1 Balance",306
9532,2,"Q1 Balance",418
9533,2,"Q1 Balance",892
9534,3,"Q1 Balance",608
9535,5,"Q1 Balance",1383
9536,4,"Q1 Balance",669
9537,3,"Q1 Balance",575
9538,3,"Q1 Balance",148
9539,3,"Q1 Balance",66
9540,4,"Q1 Balance",1997
9541,5,"Q1 Balance",213
9542,6,"Q1 Balance",27
9543,4,"Q1 Balance",844
9544,2,"Q1 Balance",1639
9545,4,"Q1 Balance",447
9546,3,"Q1 Balance",1669
9547,4,"Q1 Balance",278
9548,4,"Q1 Balance",746
9549,3,"Q1 Balance",1845
9550,3,"Q1 Balance",996
9551,3,"Q1 Balance",442
9552,3,"Q1 Balance",1978
9553,3,"Q1 Balance",60
9554,1,"Q1 Balance",765
9555,2,"Q1 Balance",977
9556,1,"Q1 Balance",810
9557,3,"Q1 Balance",171
9558,5,"Q1 Balance",1655
9559,4,"Q1 Balance",1854
9560,4,"Q1 Balance",1402
9561,2,"Q1 Balance",1776
9562,3,"Q1 Balance",592
9563,3,"Q1 Balance",1823
9564,3,"Q1 Balance",1753
9565,3,"Q1 Balance",107
9566,4,"Q1 Balance",826
9567,2,"Q1 Balance",211
9568,2,"Q1 Balance",700
9569,2,"Q1 Balance",802
9570,3,"Q1 Balance",293
9571,4,"Q1 Balance",1901
9572,3,"Q1 Balance",814
9573,5,"Q1 Balance",395
9574,4,"Q1 Balance",1248
9575,3,"Q1 Balance",954
9576,3,"Q1 Balance",955
9577,4,"Q1 Balance",456
9578,5,"Q1 Balance",552
9579,3,"Q1 Balance",1345
9580,5,"Q1 Balance",1803
9581,5,"Q1 Balance",2022
9582,3,"Q1 Balance",435
9583,2,"Q1 Balance",1361
9584,4,"Q1 Balance",888
9585,2,"Q1 Balance",177
9586,5,"Q1 Balance",1959
9587,3,"Q1 Balance",230
9588,3,"Q1 Balance",1527
9589,5,"Q1 Balance",1208
9590,4,"Q1 Balance",528
9591,4,"Q1 Balance",1939
9592,1,"Q1 Balance",562
9593,3,"Q1 Balance",521
9594,2,"Q1 Balance",1882
9595,4,"Q1 Balance",841
9596,4,"Q1 Balance",190
9597,3,"Q1 Balance",996
9598,2,"Q1 Balance",1549
9599,4,"Q1 Balance",238
9600,4,"Q1 Balance",971
9601,4,"Q1 Balance",76
9602,3,"Q1 Balance",105
9603,3,"Q1 Balance",1618
9604,3,"Q1 Balance",1662
9605,4,"Q1 Balance",466
9606,3,"Q1 Balance",1757
9607,3,"Q1 Balance",1050
9608,3,"Q1 Balance",806
9609,4,"Q1 Balance",1622
9610,4,"Q1 Balance",565
9611,4,"Q1 Balance",1950
9612,3,"Q1 Balance",1926
9613,2,"Q1 Balance",89
9614,2,"Q1 Balance",1688
9615,3,"Q1 Balance",1450
9616,3,"Q1 Balance",1543
9617,3,"Q1 Balance",1718
9618,2,"Q1 Balance",991
9619,3,"Q1 Balance",649
9620,5,"Q1 Balance",247
9621,3,"Q1 Balance",970
9622,3,"Q1 Balance",960
9623,4,"Q1 Balance",553
9624,3,"Q1 Balance",977
9625,4,"Q1 Balance",1778
9626,4,"Q1 Balance",270
9627,2,"Q1 Balance",720
9628,4,"Q1 Balance",784
9629,4,"Q1 Balance",886
9630,4,"Q1 Balance",1607
9631,5,"Q1 Balance",943
9632,4,"Q1 Balance",1680
9633,2,"Q1 Balance",1807
9634,4,"Q1 Balance",225
9635,3,"Q1 Balance",793
9636,4,"Q1 Balance",1708
9637,2,"Q1 Balance",825
9638,4,"Q1 Balance",1282
9639,5,"Q1 Balance",424
9640,2,"Q1 Balance",953
9641,3,"Q1 Balance",79
9642,3,"Q1 Balance",462
9643,5,"Q1 Balance",575
9644,4,"Q1 Balance",944
9645,5,"Q1 Balance",716
9646,3,"Q1 Balance",762
9647,2,"Q1 Balance",1725
9648,4,"Q1 Balance",414
9649,5,"Q1 Balance",1504
9650,2,"Q1 Balance",2136
9651,4,"Q1 Balance",1991
9652,4,"Q1 Balance",463
9653,2,"Q1 Balance",1610
9654,3,"Q1 Balance",1950
9655,3,"Q1 Balance",899
9656,3,"Q1 Balance",276
9657,4,"Q1 Balance",823
9658,3,"Q1 Balance",737
9659,4,"Q1 Balance",685
9660,4,"Q1 Balance",1726
9661,5,"Q1 Balance",1901
9662,4,"Q1 Balance",523
9663,3,"Q1 Balance",499
9664,2,"Q1 Balance",533
9665,4,"Q1 Balance",1394
9666,2,"Q1 Balance",1632
9667,5,"Q1 Balance",1965
9668,5,"Q1 Balance",718
9669,3,"Q1 Balance",1985
9670,2,"Q1 Balance",614
9671,3,"Q1 Balance",1709
9672,4,"Q1 Balance",86
9673,3,"Q1 Balance",615
9674,6,"Q1 Balance",317
9675,4,"Q1 Balance",462
9676,4,"Q1 Balance",377
9677,5,"Q1 Balance",631
9678,2,"Q1 Balance",1611
9679,3,"Q1 Balance",159
9680,6,"Q1 Balance",1423
9681,3,"Q1 Balance",978
9682,4,"Q1 Balance",1226
9683,3,"Q1 Balance",1757
9684,3,"Q1 Balance",324
9685,5,"Q1 Balance",151
9686,6,"Q1 Balance",663
9687,4,"Q1 Balance",434
9688,2,"Q1 Balance",146
9689,4,"Q1 Balance",1703
9690,4,"Q1 Balance",881
9691,2,"Q1 Balance",1801
9692,3,"Q1 Balance",306
9693,4,"Q1 Balance",406
9694,4,"Q1 Balance",637
9695,4,"Q1 Balance",1754
9696,3,"Q1 Balance",802
9697,4,"Q1 Balance",486
9698,4,"Q1 Balance",214
9699,4,"Q1 Balance",956
9700,2,"Q1 Balance",150
9701,2,"Q1 Balance",1764
9702,2,"Q1 Balance",1554
9703,2,"Q1 Balance",264
9704,2,"Q1 Balance",138
9705,4,"Q1 Balance",520
9706,4,"Q1 Balance",1655
9707,5,"Q1 Balance",890
9708,5,"Q1 Balance",237
9709,5,"Q1 Balance",1008
9710,4,"Q1 Balance",1018
9711,3,"Q1 Balance",1740
9712,2,"Q1 Balance",679
9713,2,"Q1 Balance",1848
9714,3,"Q1 Balance",1563
9715,4,"Q1 Balance",442
9716,3,"Q1 Balance",301
9717,2,"Q1 Balance",81
9718,3,"Q1 Balance",1114
9719,1,"Q1 Balance",343
9720,5,"Q1 Balance",1004
9721,3,"Q1 Balance",745
9722,3,"Q1 Balance",903
9723,6,"Q1 Balance",1409
9724,3,"Q1 Balance",1434
9725,5,"Q1 Balance",889
9726,4,"Q1 Balance",556
9727,3,"Q1 Balance",693
9728,3,"Q1 Balance",1441
9729,3,"Q1 Balance",456
9730,5,"Q1 Balance",137
9731,4,"Q1 Balance",379
9732,3,"Q1 Balance",439
9733,4,"Q1 Balance",480
9734,4,"Q1 Balance",1311
9735,3,"Q1 Balance",205
9736,4,"Q1 Balance",455
9737,3,"Q1 Balance",1505
9738,3,"Q1 Balance",563
9739,5,"Q1 Balance",1909
9740,5,"Q1 Balance",888
9741,3,"Q1 Balance",169
9742,5,"Q1 Balance",290
9743,3,"Q1 Balance",694
9744,2,"Q1 Balance",512
9745,5,"Q1 Balance",548
9746,3,"Q1 Balance",429
9747,4,"Q1 Balance",79
9748,2,"Q1 Balance",407
9749,4,"Q1 Balance",513
9750,3,"Q1 Balance",986
9751,4,"Q1 Balance",1707
9752,3,"Q1 Balance",685
9753,5,"Q1 Balance",343
9754,3,"Q1 Balance",356
9755,3,"Q1 Balance",1377
9756,3,"Q1 Balance",553
9757,4,"Q1 Balance",1331
9758,2,"Q1 Balance",357
9759,4,"Q1 Balance",759
9760,5,"Q1 Balance",128
9761,2,"Q1 Balance",215
9762,4,"Q1 Balance",432
9763,5,"Q1 Balance",60
9764,2,"Q1 Balance",125
9765,5,"Q1 Balance",249
9766,5,"Q1 Balance",361
9767,5,"Q1 Balance",977
9768,3,"Q1 Balance",607
9769,2,"Q1 Balance",905
9770,3,"Q1 Balance",736
9771,2,"Q1 Balance",120
